"ID,""GEO"",""SECTOR"",""EMPLOYEES"",""INCOME"",""MARKETING_SPENDING"",""ACC_BEFORE"",""PWC_PRESS_INDEX"",""FB_LIKES"",""TWT_FOLLOWERS"",""YEAR_FOUNDED"",""EXP_CEO"",""AREA"",""PWC_EMPLOYEES"",""CREDIT"",""FLAG"""
"29,"" 21.0071427581422  , 52.2283017548407    "",""IT"",""21"",""473750"",""39960"",""1"",""3.4634712875514"",""3942"",""795"",""2007"",""6"",""220"",""8"",""59045"",""1"""
"30,"" 21.0113112077566  , 52.2261589497142    "",""RESTAURANT"",""2"",""150870"",""7815"",""1"",""-3.83610070233771"",""1544"",""175"",""2000"",""NA"",""33"",""0"",""0"",""0"""
"31,"" 21.1450408445476  , 52.1717028094037   "",""PUB"",""6"",""150044"",""7992"",""0"",""-6.77800155497069"",""1584"",""187"",""2007"",""NA"",""30"",""0"",""0"",""0"""
"32,"" 21.0265770876671  , 52.221159665375    "",""IT"",""6"",""56700"",""7010"",""0"",""1.13218966776961"",""737"",""146"",""2012"",""NA"",""18"",""2"",""0"",""1"""
"33,""  21.0895710995072  , 52.2721359122032  "",""PUB"",""3"",""160600"",""7768"",""0"",""-20.3807297481088"",""1596"",""169"",""2006"",""NA"",""30"",""0"",""19120"",""1"""
"34,"" 21.0245065528986  , 52.2378651634231    "",""PUB"",""4"",""500207"",""30216"",""0"",""1.08691399072584"",""6031"",""633"",""2013"",""NA"",""49"",""0"",""35076"",""1"""
"35,"" 21.1989658866301  , 52.1834099662886   "",""IT"",""3"",""71887"",""7896"",""0"",""2.01378167807349"",""842"",""158"",""2011"",""NA"",""77"",""1"",""19722"",""0"""
"36,"" 21.0135819427981  , 52.235540516125    "",""IT"",""5"",""100100"",""12010"",""0"",""1.57372847873953"",""1215"",""244"",""2013"",""4"",""15"",""5"",""4005"",""1"""
"37,""  21.0762212884193  , 52.272227420737  "",""IT"",""4"",""199666"",""4892"",""1"",""-5.72195424582418"",""484"",""99"",""2003"",""NA"",""70"",""1"",""895"",""0"""
"38,"" 21.0055657542294  , 52.2350859348802    "",""IT"",""4"",""111200"",""5970"",""1"",""3.44721606520049"",""622"",""108"",""2013"",""NA"",""18"",""3"",""1007"",""1"""
"39,""  21.0599144470645  , 52.282392370184  "",""IT"",""32"",""199540"",""4945"",""1"",""-6.69730585318276"",""504"",""103"",""1998"",""7"",""71"",""0"",""0"",""0"""
"40,""  21.093195941248  , 52.2752418816602  "",""IT"",""33"",""200451"",""5051"",""1"",""-4.85811764454058"",""515"",""105"",""2002"",""8"",""78"",""1"",""0"",""1"""
"41,"" 21.1856078920215  , 52.2165979966917   "",""IT"",""5"",""92116"",""9021"",""0"",""2.75573867785938"",""952"",""177"",""2012"",""NA"",""81"",""4"",""19448"",""1"""
"42,"" 21.0083538669103  , 52.2226949555567    "",""IT"",""6"",""115200"",""13010"",""0"",""2.87347996497367"",""1223"",""265"",""2011"",""4"",""21"",""1"",""0"",""1"""
"43,"" 21.0164588719942  , 52.2268472324451    "",""CAFE"",""2"",""150391"",""7988"",""0"",""-3.51473402512796"",""1627"",""175"",""2009"",""NA"",""31"",""2"",""0"",""0"""
"44,"" 21.0283271466806  , 52.2216961067868    "",""CAFE"",""4"",""500475"",""29944"",""0"",""11.6054470348493"",""5991"",""617"",""2011"",""NA"",""52"",""0"",""45150"",""1"""
"45,"" 21.009362828623  , 52.2251161494805    "",""RESTAURANT"",""6"",""499617"",""30030"",""0"",""27.8669417273759"",""5957"",""609"",""2012"",""NA"",""45"",""0"",""55083"",""0"""
"46,"" 21.1868138049869  , 52.1881890726788   "",""IT"",""52"",""413860"",""9901"",""0"",""-0.411718941378871"",""1034"",""194"",""1998"",""13"",""352"",""0"",""9394106"",""0"""
"47,""  21.0371586550493  , 52.2752998694545  "",""IT"",""3"",""199411"",""5051"",""1"",""-4.05855262910532"",""488"",""101"",""2001"",""9"",""73"",""2"",""1408"",""0"""
"48,"" 21.0281702168775  , 52.2283228057204    "",""PUB"",""4"",""500002"",""30075"",""0"",""17.8445132116689"",""6072"",""573"",""2010"",""NA"",""41"",""0"",""60370"",""1"""
"49,"" 21.1882951877015  , 52.1808259320608   "",""CAFE"",""1"",""150478"",""7828"",""0"",""-16.9526161971319"",""1599"",""183"",""2008"",""NA"",""29"",""1"",""21990"",""0"""
"50,"" 21.1506883870726  , 52.1710599267203   "",""IT"",""4"",""87054"",""6699"",""0"",""0.499850856913695"",""643"",""147"",""2009"",""4"",""65"",""0"",""19933"",""0"""
"51,""  21.0401250803983  , 52.2760983530758  "",""IT"",""30"",""199848"",""4941"",""0"",""-4.5181336843904"",""511"",""84"",""2004"",""7"",""70"",""3"",""312"",""1"""
"52,"" 21.0091674979632  , 52.2260932059446    "",""PUB"",""4"",""500289"",""29839"",""0"",""17.3314884976602"",""5908"",""596"",""2012"",""5"",""49"",""1"",""70174"",""1"""
"53,"" 21.0030733944296  , 52.2324791911058    "",""IT"",""21"",""433000"",""38010"",""0"",""1.92944769463289"",""3725"",""756"",""2007"",""5"",""180"",""1"",""59089"",""1"""
"54,""  21.0450627419283  , 52.2915382712428  "",""IT"",""5"",""199552"",""5144"",""0"",""-3.53335769644965"",""494"",""106"",""1995"",""6"",""70"",""1"",""1302"",""0"""
"55,"" 21.0250548739424  , 52.2265589094395    "",""RESTAURANT"",""3"",""150059"",""8026"",""0"",""6.82937191818704"",""1616"",""169"",""2005"",""6"",""27"",""1"",""0"",""1"""
"56,"" 21.1832915790323  , 52.1751087747212   "",""IT"",""7"",""79001"",""7482"",""1"",""1.48435977550369"",""716"",""155"",""2013"",""3"",""74"",""2"",""19346"",""1"""
"57,"" 21.0056507859153  , 52.2345957521256    "",""IT"",""22"",""416250"",""44040"",""1"",""1.88926479338334"",""4452"",""851"",""2010"",""9"",""211"",""5"",""0"",""1"""
"58,"" 21.1924438203983  , 52.2078704825998   "",""CAFE"",""2"",""150027"",""7978"",""1"",""0.498538773601945"",""1603"",""140"",""2006"",""NA"",""29"",""0"",""12940"",""0"""
"59,"" 21.1817688722052  , 52.2003083045525   "",""IT"",""5"",""85020"",""7902"",""1"",""0.562762536177654"",""710"",""172"",""2012"",""NA"",""73"",""1"",""19992"",""1"""
"60,"" 21.1874482687535  , 52.18750357165   "",""IT"",""51"",""393540"",""10039"",""0"",""-1.82449215560938"",""1057"",""216"",""2006"",""14"",""338"",""3"",""868"",""0"""
"61,""  21.0441905853548  , 52.2865081968601  "",""IT"",""27"",""199679"",""4988"",""0"",""-4.94603619815642"",""479"",""87"",""2002"",""10"",""68"",""1"",""0"",""0"""
"62,""  21.0894765697443  , 52.2839100279147  "",""IT"",""3"",""199262"",""5025"",""0"",""-4.64668771291288"",""492"",""93"",""1998"",""8"",""68"",""3"",""997"",""0"""
"63,"" 21.1505633361628  , 52.2187792614149   "",""RESTAURANT"",""3"",""150302"",""7930"",""0"",""5.51130374710176"",""1605"",""146"",""2008"",""NA"",""26"",""0"",""0"",""0"""
"64,"" 21.0035988479452  , 52.2378943377081    "",""IT"",""25"",""412250"",""28040"",""0"",""2.88737477948262"",""2797"",""589"",""2005"",""8"",""217"",""4"",""58953"",""1"""
"65,"" 21.0039224961691  , 52.2271149973525    "",""CAFE"",""4"",""499590"",""29845"",""0"",""14.712167347836"",""5950"",""583"",""2012"",""4"",""43"",""0"",""55211"",""0"""
"66,"" 21.0270522443273  , 52.2387054765876    "",""IT"",""22"",""585500"",""31940"",""1"",""3.00911331644747"",""3144"",""629"",""2012"",""NA"",""202"",""5"",""60406"",""0"""
"67,""  21.0642374844383  , 52.2794847089355  "",""PUB"",""8"",""149600"",""8163"",""0"",""1.70897300154831"",""1614"",""150"",""2010"",""5"",""25"",""1"",""21117"",""1"""
"68,""  21.0457080657268  , 52.2738655977324  "",""IT"",""26"",""199184"",""4950"",""1"",""-3.72576006877423"",""493"",""99"",""1999"",""8"",""69"",""0"",""1216"",""1"""
"69,""  21.085181909136  , 52.2999471376347  "",""IT"",""30"",""200318"",""5099"",""0"",""-6.29896907377881"",""544"",""88"",""2001"",""6"",""69"",""0"",""0"",""1"""
"70,""  21.0661374686658  , 52.2760804807977  "",""IT"",""30"",""199125"",""5043"",""1"",""-5.14410348226977"",""509"",""94"",""2004"",""NA"",""61"",""2"",""1212"",""1"""
"71,"" 21.1619923333107  , 52.1984218327608   "",""IT"",""49"",""262210"",""9904"",""1"",""-1.37707126315564"",""999"",""189"",""2002"",""16"",""353"",""2"",""856"",""0"""
"72,"" 21.1755658880565  , 52.2046693368163   "",""IT"",""3"",""75969"",""8611"",""0"",""2.69440571621822"",""859"",""194"",""2010"",""5"",""86"",""0"",""20303"",""1"""
"73,"" 21.0127606793935  , 52.2257687741565    "",""IT"",""6"",""79900"",""7930"",""0"",""1.68284153052285"",""830"",""161"",""2010"",""NA"",""21"",""4"",""-998"",""1"""
"74,""  21.0332998775737  , 52.2878299054061  "",""IT"",""31"",""200572"",""5056"",""1"",""-5.51096422673346"",""484"",""83"",""2002"",""5"",""67"",""1"",""0"",""0"""
"75,"" 21.018387975866  , 52.2327970134607    "",""IT"",""21"",""375250"",""33930"",""1"",""2.37036960147858"",""3493"",""678"",""2013"",""7"",""197"",""7"",""0"",""1"""
"76,"" 21.1759245373532  , 52.1989977318258   "",""IT"",""56"",""231900"",""9977"",""0"",""-4.25237940629331"",""981"",""215"",""2002"",""12"",""364"",""3"",""9191722"",""1"""
"77,""  21.0444711152045  , 52.2746968788537  "",""CAFE"",""3"",""180100"",""7986"",""0"",""6.65859126518516"",""1585"",""156"",""2009"",""NA"",""26"",""1"",""21078"",""1"""
"78,""  21.0451654159068  , 52.274945303963  "",""IT"",""37"",""199768"",""4874"",""1"",""-3.90989868563865"",""477"",""83"",""2009"",""6"",""66"",""1"",""0"",""0"""
"79,""  21.0625565231917  , 52.2869739519781  "",""IT"",""4"",""200223"",""5036"",""0"",""-3.78774560959702"",""510"",""100"",""2007"",""5"",""73"",""0"",""0"",""0"""
"80,"" 21.1485409491817  , 52.1790150413336   "",""IT"",""6"",""78971"",""8924"",""0"",""1.29203499794788"",""910"",""175"",""2008"",""4"",""70"",""1"",""20383"",""0"""
"81,"" 21.1372368924329  , 52.2145345298853   "",""IT"",""4"",""75967"",""7189"",""0"",""0.84533763407972"",""689"",""136"",""2011"",""3"",""66"",""0"",""20445"",""1"""
"82,""  21.0409919362934  , 52.2953648744966  "",""IT"",""27"",""198788"",""4973"",""1"",""-4.55108198525251"",""522"",""89"",""2007"",""NA"",""69"",""2"",""500"",""1"""
"83,"" 21.0213920752774  , 52.2245425436739    "",""IT"",""21"",""318250"",""40120"",""1"",""3.64583659287516"",""3975"",""813"",""2009"",""6"",""201"",""3"",""0"",""1"""
"84,""  21.0827607507468  , 52.2906975447084  "",""RESTAURANT"",""3"",""69300"",""7970"",""0"",""-6.40585586713086"",""1561"",""200"",""2008"",""NA"",""35"",""0"",""0"",""0"""
"85,"" 21.0096629715231  , 52.2364131126786    "",""IT"",""6"",""91000"",""10010"",""0"",""2.05426803717272"",""1053"",""199"",""2013"",""4"",""25"",""2"",""-6999"",""1"""
"86,""  21.0482182234782  , 52.2881548290374  "",""IT"",""2"",""200224"",""5145"",""1"",""-5.40540580856252"",""482"",""106"",""2002"",""8"",""73"",""1"",""1098"",""0"""
"87,"" 21.0227811103528  , 52.2285023561772    "",""RESTAURANT"",""4"",""500387"",""29799"",""0"",""5.65513991548971"",""5990"",""626"",""2011"",""1"",""40"",""0"",""30130"",""1"""
"88,""  21.0719527391996  , 52.2875411340967  "",""PUB"",""1"",""180700"",""8127"",""1"",""-16.9179495127807"",""1555"",""157"",""2008"",""NA"",""28"",""0"",""19124"",""1"""
"89,""  21.0535704303323  , 52.2917386312643  "",""PUB"",""1"",""99500"",""7853"",""0"",""-15.2466165903744"",""1489"",""149"",""2008"",""NA"",""30"",""2"",""43226"",""1"""
"90,"" 21.1733862210549  , 52.189420046825   "",""RESTAURANT"",""3"",""150063"",""7979"",""0"",""-11.0905899146698"",""1624"",""160"",""2003"",""4"",""28"",""0"",""20120"",""0"""
"91,"" 21.1399829648314  , 52.1709927844745   "",""IT"",""4"",""101210"",""7707"",""0"",""1.41057988366899"",""763"",""170"",""2009"",""5"",""70"",""1"",""20331"",""0"""
"92,""  21.0831519159907  , 52.2989499259274  "",""IT"",""4"",""200350"",""5027"",""1"",""-3.64288812605233"",""506"",""84"",""2003"",""6"",""59"",""1"",""696"",""0"""
"93,"" 21.1335892978581  , 52.2098321000976   "",""IT"",""49"",""232000"",""9860"",""1"",""-2.4986122894405"",""988"",""202"",""2002"",""13"",""353"",""3"",""1171"",""1"""
"94,"" 21.0013337513637  , 52.2244415081525    "",""RESTAURANT"",""4"",""150223"",""7885"",""0"",""-7.76094686882116"",""1572"",""134"",""2005"",""NA"",""31"",""1"",""19839"",""0"""
"95,""  21.0552090504323  , 52.2970915147685  "",""IT"",""31"",""199901"",""4939"",""1"",""-4.81006071767661"",""509"",""106"",""2005"",""6"",""73"",""0"",""0"",""1"""
"96,"" 21.1930543016884  , 52.1833767616353   "",""IT"",""45"",""363360"",""9996"",""1"",""-1.77699657042689"",""991"",""214"",""2004"",""NA"",""348"",""6"",""1218"",""0"""
"97,"" 21.173099865919  , 52.2045258184127   "",""IT"",""55"",""302660"",""10014"",""1"",""-2.69498052625676"",""946"",""215"",""2008"",""13"",""343"",""2"",""9494511"",""1"""
"98,""  21.0975303908926  , 52.2803758714628  "",""IT"",""27"",""199226"",""4996"",""0"",""-4.85344024213264"",""504"",""115"",""2001"",""7"",""69"",""1"",""809"",""0"""
"99,"" 21.1676126275612  , 52.2019859737065   "",""RESTAURANT"",""2"",""150645"",""8005"",""0"",""10.9425964001598"",""1601"",""152"",""2012"",""NA"",""27"",""0"",""18000"",""1"""
"100,"" 21.027529868383  , 52.2203874393366    "",""IT"",""23"",""455250"",""42110"",""1"",""2.64632114958015"",""4159"",""824"",""2007"",""10"",""187"",""4"",""58884"",""1"""
"101,"" 21.1788992585242  , 52.1751556154154   "",""IT"",""5"",""80002"",""7600"",""0"",""-0.385879938635996"",""789"",""152"",""2011"",""6"",""77"",""1"",""19076"",""1"""
"102,"" 21.1653572635707  , 52.2175731077138   "",""CAFE"",""3"",""150246"",""7900"",""0"",""-11.8158916587432"",""1590"",""149"",""2009"",""NA"",""31"",""0"",""17000"",""0"""
"103,"" 21.1673984939624  , 52.2165771930176   "",""IT"",""6"",""69843"",""6586"",""0"",""1.86002650214257"",""673"",""138"",""2012"",""2"",""83"",""0"",""21106"",""1"""
"104,"" 21.0111238007336  , 52.2331724172365    "",""IT"",""20"",""404000"",""54070"",""0"",""3.52048763037404"",""5468"",""1151"",""2006"",""NA"",""200"",""3"",""60194"",""1"""
"105,"" 21.1745775242317  , 52.1836156137916   "",""IT"",""46"",""373380"",""10066"",""0"",""-2.95538622420889"",""1027"",""200"",""2002"",""13"",""335"",""2"",""990"",""1"""
"106,""  21.0430877243006  , 52.2965905041364  "",""IT"",""3"",""199811"",""5081"",""0"",""-4.01278846119351"",""535"",""90"",""2005"",""NA"",""71"",""1"",""795"",""1"""
"107,""  21.0630974487169  , 52.2930497716274  "",""IT"",""3"",""200218"",""5077"",""0"",""-5.78129504883928"",""485"",""107"",""2006"",""NA"",""74"",""2"",""702"",""0"""
"108,""  21.0395458576712  , 52.2977027460723  "",""IT"",""35"",""199832"",""4972"",""1"",""-2.10639674498326"",""471"",""105"",""1998"",""7"",""74"",""0"",""596"",""0"""
"109,""  21.0637210751045  , 52.2860652761837  "",""IT"",""29"",""199974"",""4839"",""0"",""-4.92078695104233"",""468"",""98"",""1999"",""NA"",""72"",""0"",""0"",""0"""
"110,"" 21.0028487189359  , 52.2378568525333    "",""PUB"",""5"",""498900"",""29806"",""0"",""24.7481038182626"",""6043"",""606"",""2013"",""2"",""52"",""0"",""39967"",""0"""
"111,""  21.0825643523294  , 52.2705588451144  "",""IT"",""24"",""200688"",""4911"",""1"",""-4.03346810909959"",""467"",""97"",""2004"",""6"",""74"",""1"",""583"",""1"""
"112,""  21.0543595328624  , 52.2989742697682  "",""IT"",""3"",""200401"",""5157"",""0"",""-5.12605495600636"",""533"",""101"",""2001"",""NA"",""73"",""6"",""1198"",""0"""
"113,"" 21.1746421727436  , 52.1848050170275   "",""PUB"",""4"",""149868"",""8143"",""0"",""7.99116038655743"",""1667"",""157"",""2008"",""4"",""32"",""0"",""14970"",""0"""
"114,""  21.0631083202478  , 52.2968790244916  "",""RESTAURANT"",""3"",""139600"",""8059"",""0"",""-8.18197742484969"",""1596"",""170"",""2006"",""3"",""32"",""0"",""17122"",""1"""
"115,"" 21.0188321680282  , 52.2354935494484    "",""IT"",""5"",""73800"",""12030"",""0"",""1.49217193886311"",""1162"",""255"",""2014"",""5"",""22"",""3"",""7009"",""1"""
"116,""  21.046829397257  , 52.2704644099833  "",""IT"",""3"",""200623"",""5010"",""1"",""-6.2040897859171"",""488"",""95"",""1999"",""6"",""65"",""0"",""1203"",""0"""
"117,"" 21.024567875935  , 52.2264420461841    "",""IT"",""23"",""276000"",""37930"",""1"",""2.50484211345149"",""3744"",""775"",""2009"",""6"",""197"",""7"",""61089"",""1"""
"118,"" 21.1537275106711  , 52.2020479788352   "",""IT"",""53"",""322880"",""10065"",""1"",""-1.77055410491563"",""962"",""191"",""2002"",""12"",""338"",""6"",""11211689"",""0"""
"119,""  21.0730373055697  , 52.2728376763454  "",""IT"",""32"",""199409"",""5046"",""1"",""-7.08898443286273"",""529"",""94"",""1998"",""4"",""61"",""1"",""0"",""0"""
"120,"" 21.1414393557012  , 52.212521620146   "",""PUB"",""1"",""150405"",""7939"",""0"",""-6.66057015065257"",""1597"",""172"",""2006"",""NA"",""31"",""0"",""23970"",""0"""
"121,"" 21.0203449835477  , 52.2342885928182    "",""PUB"",""4"",""150618"",""8070"",""0"",""13.9703662236376"",""1562"",""162"",""2007"",""NA"",""35"",""0"",""19808"",""0"""
"122,"" 21.0014301789142  , 52.2362445793953    "",""IT"",""19"",""403000"",""40060"",""1"",""2.9682226580331"",""3926"",""847"",""2006"",""7"",""191"",""4"",""0"",""1"""
"123,"" 21.1502993557779  , 52.1958328833268   "",""IT"",""57"",""211830"",""9861"",""0"",""-0.843913948005177"",""1038"",""198"",""2003"",""NA"",""355"",""1"",""1018"",""1"""
"124,"" 21.0035233136122  , 52.2301933111064    "",""IT"",""7"",""73800"",""8010"",""0"",""2.74826624686091"",""797"",""142"",""2012"",""NA"",""21"",""3"",""-4996"",""1"""
"125,"" 21.0138610455687  , 52.2224647541577    "",""IT"",""10"",""87000"",""9980"",""0"",""1.43357912516189"",""963"",""210"",""2011"",""NA"",""22"",""1"",""-2998"",""1"""
"126,""  21.048706030529  , 52.295004009949  "",""IT"",""2"",""199468"",""4991"",""1"",""-6.14055821604526"",""525"",""118"",""1997"",""NA"",""77"",""1"",""998"",""0"""
"127,"" 21.1795913757896  , 52.2151414314797   "",""CAFE"",""4"",""149834"",""8189"",""0"",""-2.35897068402538"",""1608"",""166"",""2003"",""NA"",""26"",""1"",""16950"",""0"""
"128,"" 21.0271698779466  , 52.2330236869864    "",""CAFE"",""5"",""150674"",""7996"",""1"",""-23.4956246343432"",""1551"",""156"",""2007"",""NA"",""26"",""0"",""19909"",""0"""
"129,"" 21.0170607329486  , 52.2320007009711    "",""RESTAURANT"",""5"",""501122"",""30091"",""0"",""13.8928533029977"",""6096"",""645"",""2013"",""NA"",""58"",""0"",""65228"",""0"""
"130,""  21.0729422311555  , 52.2947037511226  "",""CAFE"",""3"",""109300"",""7834"",""0"",""-11.2759843128501"",""1596"",""147"",""2005"",""NA"",""29"",""2"",""0"",""0"""
"131,""  21.0638878550823  , 52.2895657253219  "",""IT"",""28"",""199967"",""4965"",""1"",""-4.47183388924201"",""523"",""84"",""2004"",""NA"",""68"",""0"",""0"",""0"""
"132,"" 21.0234962199582  , 52.2215105244983    "",""PUB"",""5"",""500346"",""29967"",""0"",""-0.551080427743109"",""5879"",""625"",""2013"",""NA"",""48"",""0"",""45011"",""1"""
"133,"" 21.1760701675629  , 52.2069952358073   "",""IT"",""5"",""77978"",""8424"",""0"",""1.58200918089851"",""794"",""187"",""2012"",""NA"",""70"",""1"",""20366"",""1"""
"134,"" 21.1576647147173  , 52.2162228233228   "",""PUB"",""3"",""150081"",""7903"",""0"",""-3.26554395619474"",""1552"",""154"",""2003"",""NA"",""29"",""0"",""23070"",""0"""
"135,""  21.0552391517209  , 52.2867113784049  "",""IT"",""30"",""200653"",""4905"",""0"",""-2.30385139927316"",""458"",""103"",""2001"",""NA"",""73"",""2"",""1114"",""0"""
"136,""  21.0424503604346  , 52.2741604043473  "",""IT"",""3"",""199447"",""4922"",""1"",""-6.27576601321306"",""499"",""106"",""2005"",""NA"",""71"",""0"",""1408"",""0"""
"137,"" 21.1979052338218  , 52.1964314070111   "",""CAFE"",""3"",""150224"",""7984"",""0"",""-10.3320610329369"",""1592"",""154"",""2008"",""NA"",""29"",""1"",""15970"",""0"""
"138,"" 21.0210493004997  , 52.2223399324436    "",""IT"",""8"",""77900"",""14020"",""0"",""1.87803906678449"",""1353"",""254"",""2011"",""3"",""16"",""2"",""-1999"",""1"""
"139,""  21.0472156482679  , 52.2868273525825  "",""IT"",""27"",""199647"",""4938"",""1"",""-4.00837363300491"",""528"",""101"",""2006"",""NA"",""71"",""0"",""817"",""1"""
"140,"" 21.1421895526126  , 52.204099785611   "",""IT"",""4"",""81020"",""7384"",""0"",""1.05458343410901"",""718"",""143"",""2011"",""NA"",""65"",""3"",""18790"",""1"""
"141,"" 21.1693826741045  , 52.1810550087411   "",""CAFE"",""2"",""150096"",""7999"",""0"",""-5.26897303330638"",""1629"",""170"",""2006"",""NA"",""34"",""0"",""17980"",""0"""
"142,""  21.0750629475992  , 52.2704543756926  "",""IT"",""28"",""199831"",""5057"",""1"",""-3.05252223576872"",""527"",""107"",""2000"",""5"",""67"",""0"",""908"",""0"""
"143,""  21.0809444165532  , 52.2804775067675  "",""RESTAURANT"",""3"",""180800"",""8014"",""0"",""-10.2816866208698"",""1597"",""177"",""2008"",""NA"",""30"",""1"",""7086"",""1"""
